time	V(n001)	V(n002)
1.067487500149583e-003	5.098478e-002	6.301500e-011
1.077253125149583e-003	2.477115e-002	2.936867e-011
1.087018750149583e-003	7.850629e-003	1.071719e-011
1.096784375149583e-003	3.844667e-004	2.828189e-012
1.106550000149583e-003	2.443807e-003	4.987862e-012
1.116315625149583e-003	1.400903e-002	1.734795e-011
1.126081250149583e-003	3.496992e-002	4.145357e-011
1.135846875149583e-003	6.512674e-002	8.653851e-011
1.145612500149583e-003	1.041921e-001	2.195967e-010
1.155378125149583e-003	1.517938e-001	1.066568e-009
1.165143750149583e-003	2.074782e-001	1.053487e-008
1.174909375149583e-003	2.707147e-001	1.509778e-007
1.184675000149583e-003	3.409006e-001	2.819132e-006
1.194440625149583e-003	4.173672e-001	6.534236e-005
1.204206250149583e-003	4.993858e-001	1.523060e-003
1.213971875149583e-003	5.861748e-001	1.370315e-002
1.223737500149583e-003	6.769073e-001	5.120923e-002
1.233503125149583e-003	7.707186e-001	1.156739e-001
1.243268750149583e-003	8.667147e-001	1.957946e-001
1.253034375149583e-003	9.639809e-001	2.826722e-001
1.282331250149583e-003	1.254124e+000	5.542005e-001
1.301862500149583e-003	1.436994e+000	7.294456e-001
1.311628125149583e-003	1.522611e+000	8.120539e-001
1.321393750149583e-003	1.603248e+000	8.901013e-001
1.331159375149583e-003	1.678136e+000	9.627623e-001
1.340925000149583e-003	1.746562e+000	1.029282e+000
1.350690625149583e-003	1.807874e+000	1.088977e+000
1.360456250149583e-003	1.861488e+000	1.141239e+000
1.370221875149583e-003	1.906892e+000	1.185542e+000
1.379987500149583e-003	1.943654e+000	1.221439e+000
1.389753125149583e-003	1.971424e+000	1.248570e+000
1.399518750149583e-003	1.989938e+000	1.266664e+000
1.409284375149583e-003	1.999018e+000	1.275540e+000
1.419050000149583e-003	1.998578e+000	1.275110e+000
1.428815625149583e-003	1.988623e+000	1.265378e+000
1.438581250149583e-003	1.969247e+000	1.246442e+000
1.448346875149583e-003	1.940634e+000	1.218489e+000
1.458112500149583e-003	1.903059e+000	1.181801e+000
1.467878125149583e-003	1.856878e+000	1.136744e+000
1.477643750149583e-003	1.802531e+000	1.083772e+000
1.487409375149583e-003	1.740537e+000	1.023421e+000
1.497175000149583e-003	1.671487e+000	9.563057e-001
1.506940625149583e-003	1.596037e+000	8.831155e-001
1.516706250149583e-003	1.514908e+000	8.046126e-001
1.536237500149583e-003	1.338750e+000	6.350689e-001
1.575300000149583e-003	9.549785e-001	2.744721e-001
1.585065625149583e-003	8.577908e-001	1.880045e-001
1.594831250149583e-003	7.619582e-001	1.088676e-001
1.604596875149583e-003	6.683939e-001	4.651188e-002
1.614362500149583e-003	5.779896e-001	1.172909e-002
1.624128125149583e-003	4.916067e-001	1.164563e-003
1.633893750149583e-003	4.100683e-001	4.854871e-005
1.643659375149583e-003	3.341515e-001	2.129536e-006
1.653425000149583e-003	2.645797e-001	1.163651e-007
1.663190625149583e-003	2.020158e-001	8.217854e-009
1.672956250149583e-003	1.470561e-001	8.992980e-010
1.682721875149583e-003	1.002242e-001	1.981337e-010
1.692487500149583e-003	6.196639e-002	8.084901e-011
1.702253125149583e-003	3.264728e-002	3.864291e-011
1.712018750149583e-003	1.254623e-002	1.576583e-011
1.721784375149583e-003	1.854796e-003	4.370487e-012
1.731550000149583e-003	6.748528e-004	3.131510e-012
1.741315625149583e-003	9.017645e-003	1.196002e-011
1.751081250149583e-003	2.680367e-002	3.169720e-011
1.760846875149583e-003	5.386345e-002	6.729522e-011
1.770612500149583e-003	8.993912e-002	1.520069e-010
1.780378125149583e-003	1.346869e-001	5.702435e-010
1.790143750149583e-003	1.876804e-001	4.482180e-009
1.799909375149583e-003	2.484147e-001	5.890606e-008
1.809675000149583e-003	3.163109e-001	1.014967e-006
1.819440625149583e-003	3.907221e-001	2.200882e-005
1.829206250149583e-003	4.709392e-001	5.459302e-004
1.838971875149584e-003	5.561978e-001	7.455383e-003
1.848737500149584e-003	6.456855e-001	3.511084e-002
1.858503125149584e-003	7.385495e-001	9.136141e-002
1.868268750149584e-003	8.339049e-001	1.675593e-001
1.878034375149584e-003	9.308431e-001	2.526717e-001
1.897565625149584e-003	1.125766e+000	4.326269e-001
1.917096875149584e-003	1.315907e+000	6.131905e-001
1.936628125149584e-003	1.494036e+000	7.844504e-001
1.946393750149584e-003	1.576453e+000	8.641437e-001
1.956159375149584e-003	1.653378e+000	9.387234e-001
1.965925000149583e-003	1.724076e+000	1.007410e+000
1.975690625149583e-003	1.787875e+000	1.069496e+000
1.985456250149583e-003	1.844165e+000	1.124348e+000
