time	V(n001)	V(n002)	V(n003)
4.540172466390118e-004	1.479265e-002	1.139493e+000	4.552598e-001
4.637828716390118e-004	2.778329e-003	1.138087e+000	4.551090e-001
4.735484966390118e-004	2.667004e-004	1.136697e+000	4.549446e-001
4.833141216390118e-004	7.281697e-003	1.135320e+000	4.547675e-001
4.930797466390118e-004	2.375647e-002	1.133957e+000	4.545787e-001
5.028453716390118e-004	4.953403e-002	1.132606e+000	4.543788e-001
5.126109966390118e-004	8.436874e-002	1.131267e+000	4.541686e-001
5.223766216390118e-004	1.279287e-001	1.129940e+000	4.539487e-001
5.321422466390118e-004	1.797987e-001	1.128623e+000	4.537198e-001
5.419078716390118e-004	2.394845e-001	1.127316e+000	4.534823e-001
5.516734966390119e-004	3.064175e-001	1.126018e+000	4.532368e-001
5.614391216390119e-004	3.799597e-001	1.124730e+000	4.529838e-001
5.712047466390119e-004	4.594103e-001	1.123450e+000	4.527236e-001
5.809703716390119e-004	5.440124e-001	1.122178e+000	4.524567e-001
5.907359966390119e-004	6.329596e-001	1.120914e+000	4.521835e-001
6.102672466390119e-004	8.204659e-001	1.118409e+000	4.516193e-001
6.395641216390119e-004	1.112219e+000	1.114702e+000	4.507331e-001
6.688609966390120e-004	1.394409e+000	1.111051e+000	4.498053e-001
6.786266216390120e-004	1.482127e+000	1.109845e+000	4.494879e-001
6.883922466390120e-004	1.565251e+000	1.108644e+000	4.491666e-001
6.981578716390120e-004	1.642988e+000	1.107451e+000	4.488418e-001
7.079234966390120e-004	1.714598e+000	1.106292e+000	4.485136e-001
7.176891216390120e-004	1.779399e+000	1.105422e+000	4.481829e-001
7.274547466390120e-004	1.836773e+000	1.106284e+000	4.478540e-001
7.372203716390120e-004	1.886173e+000	1.112722e+000	4.475484e-001
7.469859966390120e-004	1.927128e+000	1.128606e+000	4.473484e-001
7.567516216390120e-004	1.959249e+000	1.152393e+000	4.474958e-001
7.665172466390120e-004	1.982228e+000	1.177280e+000	4.484666e-001
7.762828716390120e-004	1.995848e+000	1.197323e+000	4.507737e-001
7.860484966390121e-004	1.999979e+000	1.210482e+000	4.544884e-001
7.958141216390121e-004	1.994580e+000	1.217281e+000	4.590208e-001
8.055797466390121e-004	1.979704e+000	1.219207e+000	4.635103e-001
8.153453716390121e-004	1.955492e+000	1.217967e+000	4.673650e-001
8.251109966390121e-004	1.922176e+000	1.215106e+000	4.704186e-001
8.348766216390121e-004	1.880071e+000	1.211735e+000	4.727677e-001
8.446422466390121e-004	1.829580e+000	1.208440e+000	4.745809e-001
8.544078716390121e-004	1.771184e+000	1.205405e+000	4.760046e-001
8.641734966390121e-004	1.705439e+000	1.202630e+000	4.771427e-001
8.739391216390121e-004	1.632972e+000	1.200069e+000	4.780648e-001
8.837047466390121e-004	1.554474e+000	1.197677e+000	4.788184e-001
8.934703716390122e-004	1.470691e+000	1.195422e+000	4.794369e-001
9.032359966390122e-004	1.382424e+000	1.193280e+000	4.799445e-001
9.130016216390122e-004	1.290512e+000	1.191231e+000	4.803596e-001
9.227672466390122e-004	1.195832e+000	1.189263e+000	4.806964e-001
9.325328716390122e-004	1.099285e+000	1.187363e+000	4.809661e-001
9.422984966390122e-004	1.001793e+000	1.185524e+000	4.811776e-001
9.520641216390122e-004	9.042835e-001	1.183736e+000	4.813382e-001
9.618297466390122e-004	8.076861e-001	1.181995e+000	4.814540e-001
9.715953716390122e-004	7.129213e-001	1.180295e+000	4.815299e-001
9.813609966390121e-004	6.208921e-001	1.178633e+000	4.815702e-001
9.911266216390121e-004	5.324755e-001	1.177004e+000	4.815786e-001
1.000892246639012e-003	4.485140e-001	1.175406e+000	4.815582e-001
1.010657871639012e-003	3.698078e-001	1.173835e+000	4.815116e-001
1.020423496639012e-003	2.971067e-001	1.172289e+000	4.814412e-001
1.030189121639012e-003	2.311036e-001	1.170767e+000	4.813491e-001
1.039954746639012e-003	1.724275e-001	1.169267e+000	4.812370e-001
1.049720371639012e-003	1.216374e-001	1.167786e+000	4.811066e-001
1.059485996639012e-003	7.921741e-002	1.166324e+000	4.809593e-001
1.069251621639012e-003	4.557170e-002	1.164879e+000	4.807964e-001
1.079017246639012e-003	2.102089e-002	1.163450e+000	4.806189e-001
1.088782871639012e-003	5.798941e-003	1.162036e+000	4.804280e-001
1.098548496639012e-003	5.089677e-005	1.160637e+000	4.802246e-001
1.108314121639012e-003	3.831534e-003	1.159250e+000	4.800096e-001
1.118079746639012e-003	1.710483e-002	1.157876e+000	4.797836e-001
1.127845371639012e-003	3.974429e-002	1.156514e+000	4.795474e-001
1.137610996639012e-003	7.153419e-002	1.155163e+000	4.793016e-001
1.147376621639012e-003	1.121716e-001	1.153822e+000	4.790469e-001
1.157142246639012e-003	1.612693e-001	1.152491e+000	4.787837e-001
1.166907871639012e-003	2.183594e-001	1.151170e+000	4.785126e-001
1.176673496639012e-003	2.828978e-001	1.149858e+000	4.782339e-001
